Name,Star,Num. Reviews,Price,Area,Category,Services,Searched City,Avg. Rating,Price Point,Avg. Price
Ba Bar,3.5,259.0,2,South Lake Union,"['Vietnamese', 'Cocktail Bars', 'Bakeries']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.55,30,38.81
Seoul Bowl & Bar,4.5,55.0,2,Central District,"['Korean', 'Barbeque', 'Chicken Wings']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.32,30,18.61
Shaker + Spear,4.5,843.0,2,Belltown,"['Seafood', 'American (New)', 'Breakfast & Brunch']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.78,30,30.93
Daniel’s Broiler,3.5,860.0,4,South Lake Union,"['Steakhouses', 'Seafood']","['Delivery', 'Takeout']",Seattle,3.27,100,114.66
Biscuit Bitch,4.5,1477.0,2,Belltown,"['Breakfast & Brunch', 'Southern', 'Coffee & Tea']","['Delivery', 'Takeout']",Seattle,4.54,30,24.18
Eve Fremont,4.0,277.0,2,Fremont,['American (New)'],"['Delivery', 'Takeout']",Seattle,3.92,30,23.9
A + Hong Kong Kitchen,4.0,596.0,2,Chinatown,"['Cantonese', 'Hong Kong Style Cafe']",[],Seattle,4.1,30,25.9
Meet the Moon,4.0,552.0,2,Leschi,"['Coffee & Tea', 'Breakfast & Brunch', 'Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.92,30,29.18
Fogón Cocina Mexicana,4.5,1601.0,2,Capitol Hill,['Mexican'],"['Live wait time: 0 mins', 'Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.62,30,33.03
Lionhead,4.0,266.0,2,Capitol Hill,"['Szechuan', 'Cocktail Bars', 'Noodles']","['Delivery', 'Takeout']",Seattle,3.8,30,28.87
Palisade,4.0,1465.0,3,Magnolia,"['Seafood', 'Steakhouses', 'Asian Fusion']",['Outdoor dining'],Seattle,3.87,50,60.76
Momiji,4.0,1512.0,2,Capitol Hill,"['Japanese', 'Sushi Bars', 'Asian Fusion']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.81,30,33.19
wa’z,4.5,119.0,4,Belltown,['Japanese'],['Takeout'],Seattle,4.68,100,108.37
Pasta Casalinga,4.5,208.0,2,Downtown,"['Italian', 'Pasta Shops']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.66,30,33.86
ChungChun Rice Hot Dog,4.5,400.0,1,Chinatown,"['Korean', 'Hot Dogs']","['Outdoor dining', 'Takeout']",Seattle,4.57,15,15.47
Von’s 1000 Spirits,4.5,1946.0,2,Downtown,"['American (New)', 'Burgers', 'Pubs']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.85,30,9.21
Toulouse Petit Kitchen & Lounge,4.0,4254.0,2,Lower Queen Anne,"['Breakfast & Brunch', 'American (New)', 'Seafood']","['Delivery', 'Takeout']",Seattle,4.14,30,34.4
re:public,4.0,575.0,2,South Lake Union,"['American (New)', 'Bars']",[],Seattle,3.84,30,31.29
Rondo,4.5,191.0,2,Capitol Hill,"['Sushi Bars', 'Izakaya']",[],Seattle,4.68,30,26.09
Kizuki Ramen & Izakaya,4.0,1352.0,2,Capitol Hill,"['Ramen', 'Izakaya']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.41,30,32.59
Herb & Bitter Public House,4.0,341.0,2,Capitol Hill,"['Tapas/Small Plates', 'Cocktail Bars', 'Salad']","['Outdoor dining', 'Takeout']",Seattle,4.06,30,29.2
Azuki Handmade Japanese Udon Noodles,4.5,101.0,2,Madison Valley,"['Japanese', 'Noodles']","['Outdoor dining', 'Takeout']",Seattle,4.46,30,29.86
Eden Hill Restaurant,4.5,238.0,4,Queen Anne,"['American (New)', 'Desserts', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,4.82,100,88.17
Gold Bar,4.5,87.0,2,South Lake Union,"['Latin American', 'Cocktail Bars']","['Proof of vaccination required', 'Delivery', 'Takeout']",Seattle,4.47,30,28.67
Star Fusion & Bar,5.0,124.0,2,Capitol Hill,"['Mongolian', 'Japanese', 'Cocktail Bars']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,5.0,30,28.15
Tamarind Tree,4.0,1438.0,2,Little Saigon,"['Vietnamese', 'Noodles']","['Outdoor dining', 'Delivery', 'Takeout']",Seattle,3.92,30,35.63
